Real,Prediccion
4380.48,4487.4885094747315
1970.85,1501.9420968925724
1058.85,249.75439875033135
6354.32,7276.3534062470535
2980.56,2934.942729216613
9451.4,8697.056572629792
5689.8,5649.934703889143
5459.22,6685.140855571979
2487.6,2774.50992888578
1415.92,846.1731113363148
3149.88,3056.6553661291746
13960.2,12062.219858064069
2749.44,2718.7964918447324
8359.4,8175.704433577408
5795.68,5885.93435047755
3341.94,3307.830152374674
6459.6,6430.760748984445
10711.6,9431.143651577853
2822.52,2841.8442353441897
2250.71,1979.3228243581461
3765.86,3976.2513566601065
2686.96,2783.3244548381663
1864.08,1245.3515982305598
2425.36,2554.1171139082635
1784.52,1325.823107209444
3361.56,5663.751672759232
1893.72,1295.0735807635938
4655.7,4854.199149043026
8859.9,8629.090504398651
3341.1,3810.425389979773
8599.64,8216.76480592348
8307.32,8044.07539428247
4991.6,5125.1794708873
1928.45,1619.3045725382508
11191.2,9563.621776026368
2311.2,2115.9262759497296
4907.76,5985.704556386161
3902.8,4505.5389901377985
3855.18,3880.619986496067
2425.1,2387.7437344510727
5042.96,6333.252921704221
4622.0,4934.249485118058
1865.7,1175.3947753440852
4812.73,6086.2104851423355
1275.9,1130.856195645355
3900.96,4151.957630320743
7586.54,7536.927943020544
3912.8,3981.1315080750155
6998.94,7086.21278974909
3032.82,3084.0644235335058
3237.44,3401.970976522771
2802.87,2924.531956559449
1860.96,1423.612135133656
4226.46,4442.358527649862
3066.56,3110.330704443715
1750.56,1771.4572643853126
2917.92,2960.0895305329814
1924.68,1506.5525359977946
2844.48,2818.250305052263
3572.66,3639.5818801354053
3544.64,3687.5722659097883
2914.65,3135.0539885360085
3912.72,3910.8025582597093
4820.0,4806.223075902622
4872.21,5045.027990392662
4801.58,4935.879620054238
1997.0,1749.7300511049934
2423.22,2472.6919543409767
3746.08,3805.4930729296175
1797.18,1284.3938557460933
3832.2,4104.124997835879
4432.0,4675.722376103327
3895.84,3967.2021687437827
7640.88,7373.6324989280765
9550.8,8824.447912867494
